State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
36,5,80,88501,3,40.83606,-73.92009,WGS84,PM2.5 Raw Data,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 50 deg C,2018,Micrograms/cubic meter (LC),No Events,6485,74,N,272,365,0,66,,,Certification not required,0,8.950594,5.351368,61.4,43285.95833,54.6,43285.91667,46,43283.29167,38.9,43340.29167,,,,,27,23.9,19.7,16,11.1,7.7,3.9,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43405
36,5,80,88501,3,40.83606,-73.92009,WGS84,PM2.5 Raw Data,24-HR BLK AVG,,Observed Values,,2018,Micrograms/cubic meter (LC),No Events,272,75,N,272,365,0,0,,,Certification not required,0,8.929412,4.245973,30.3,43340,26.6,43283,24,43328,22.1,43285,,,,,24,21.9,18,14,10.3,7.8,5,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43405
36,5,80,88502,3,40.83606,-73.92009,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/Correction Factor - TEOM Gravimetric 50 deg C,2018,Micrograms/cubic meter (LC),No Events,6485,74,N,272,365,0,66,,,Certification not required,0,7.202621,6.089326,63.7,43285.95833,56.1,43285.91667,46.6,43283.29167,44.8,43111.66667,,,,,26.6,23.3,18.6,15.1,10.2,6.1,0.9,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43405
36,5,80,88502,3,40.83606,-73.92009,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2018,Micrograms/cubic meter (LC),No Events,272,75,N,272,365,0,0,,,Certification not required,0,7.183456,4.908813,29.5,43340,26.1,43111,25,43283,22.4,43328,,,,,25,20,16.7,13.8,9.8,6,2.1,MORRISANIA,"MORRISANIA CENTER, 1225-57 GERARD AVE.",New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43405
36,5,110,17141,6,40.816,-73.902,WGS84,Naphthalene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,2,,,Certification not required,0,70.882143,24.457008,128,43150,114,43246,102,43204,101,43120,,,,,128,128,114,102,89,66.2,39.3,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43378
36,5,110,17147,6,40.816,-73.902,WGS84,Acenaphthene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,2,,,Certification not required,0,5.49925,5.298833,21,43246,16.2,43252,12.5,43228,12,43270,,,,,21,21,16.2,12.5,9.27,2.81,1.06,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43378
36,5,110,17148,6,40.816,-73.902,WGS84,Acenaphthylene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,2,,,Certification not required,0,0.821968,0.929204,3.5,43102,3.28,43108,2.17,43120,1.86,43150,,,,,3.5,3.5,3.28,2.17,1.19,0.524,0.0651,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43378
36,5,110,17149,6,40.816,-73.902,WGS84,Fluorene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,2,,,Certification not required,0,5.671786,5.253926,22.4,43246,15.1,43252,13.3,43270,12.7,43228,,,,,22.4,22.4,15.1,13.3,8.66,2.89,1.32,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43378
36,5,110,17150,6,40.816,-73.902,WGS84,Phenanthrene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,2,,,Certification not required,0,9.97,7.94765,33.2,43246,25.2,43252,21,43270,20.5,43228,,,,,33.2,33.2,25.2,21,14.6,6.83,3.07,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43378
36,5,110,17151,6,40.816,-73.902,WGS84,Anthracene (TSP) STP,24 HOUR,,Observed Values,Hi Vol/PUF-XAD-2 - GCMS TO-13,2018,Nanograms/cubic meter (25 C),No Events,28,46,N,28,61,0,2,,,Certification not required,0,0.28305,0.211905,0.765,43162,0.759,43252,0.561,43108,0.501,43234,,,,,0.765,0.765,0.759,0.561,0.416,0.257,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,"New York-Newark-Jersey City, NY-NJ-PA",43378
