School_Year,Route_Number,Service_Type,Vehicle_TypeDescription,Route_Start_Date,Vendor_Code,Vendor_Name,Vendor_Affiliation,Garage _Street_Address,Garage_City,Garage_State,Garage_Zip,XCoordinates,YCoordinates
2018-2019,J501,D2D,Non-Wheelchair Accessible Alternative (NWC),43558,HT,"THOMAS BUSES, INC. (B2321)","THOMAS BUSES, INC. (B2321)",2859 WEST 37 STREET,BROOKLYN,NY,11224,983439,148884
2018-2019,J503,D2D,Type A or B Flex Vehicle,43199,TZ,THOMAS BUSES INC (B2192),THOMAS BUSES INC (B2192),2859 WEST 37 STREET,Brooklyn,NY,11224,983439,148884
2018-2019,K001,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K003,D2D,Standard Bus (SE),43199,LW,L & M BUS CORP. (B2192),L & M BUS CORP. (B2192),612 Wortman Ave,Brooklyn,NY,11208,1019867,180729
2018-2019,K004,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K005,D2D,Standard Bus (SE),43199,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K006,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K007,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K008,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K009,D2D,Standard Bus (SE),01/14/2019,JZ,JOFAZ TRANSPORTATION INC.,JOFAZ TRANSPORTATION INC.,17 VAN DYKE STREET,BROOKLYN,NY,11231,981142,184568
2018-2019,K010,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K011,D2D,Standard Bus (SE),10/17/2018,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
2018-2019,K012,D2D,Standard Bus (SE),43199,NI,"NEW DAWN TRANSIT, LLC (B2321)","NEW DAWN TRANSIT, LLC (B2321)",2352 E 69 STREET,BKLYN,NY,11234,1010806,163265
